unique_id_l,source_dataset_l,unique_id_r,source_dataset_r,clerical_match_score
876,fake_1000,878,fake_1000,1.0
13,fake_1000,36,fake_1000,0.0
142,fake_1000,147,fake_1000,1.0
7,fake_1000,32,fake_1000,0.0
27,fake_1000,32,fake_1000,0.0
815,fake_1000,816,fake_1000,1.0
940,fake_1000,942,fake_1000,1.0
5,fake_1000,22,fake_1000,0.0
457,fake_1000,459,fake_1000,1.0
16,fake_1000,31,fake_1000,0.0
119,fake_1000,120,fake_1000,1.0
14,fake_1000,16,fake_1000,0.0
442,fake_1000,444,fake_1000,1.0
90,fake_1000,92,fake_1000,1.0
881,fake_1000,882,fake_1000,1.0
593,fake_1000,594,fake_1000,1.0
34,fake_1000,36,fake_1000,1.0
281,fake_1000,282,fake_1000,1.0
66,fake_1000,67,fake_1000,1.0
7,fake_1000,8,fake_1000,1.0
993,fake_1000,996,fake_1000,1.0
1,fake_1000,29,fake_1000,0.0
763,fake_1000,764,fake_1000,1.0
356,fake_1000,357,fake_1000,1.0
289,fake_1000,293,fake_1000,1.0
3,fake_1000,4,fake_1000,0.0
51,fake_1000,55,fake_1000,1.0
0,fake_1000,46,fake_1000,0.0
829,fake_1000,830,fake_1000,1.0
34,fake_1000,47,fake_1000,0.0
17,fake_1000,39,fake_1000,0.0
637,fake_1000,639,fake_1000,1.0
689,fake_1000,692,fake_1000,1.0
716,fake_1000,721,fake_1000,1.0
19,fake_1000,36,fake_1000,0.0
766,fake_1000,767,fake_1000,1.0
3,fake_1000,12,fake_1000,0.0
245,fake_1000,250,fake_1000,1.0
435,fake_1000,436,fake_1000,1.0
101,fake_1000,103,fake_1000,1.0
898,fake_1000,901,fake_1000,1.0
10,fake_1000,44,fake_1000,0.0
695,fake_1000,697,fake_1000,1.0
171,fake_1000,174,fake_1000,1.0
0,fake_1000,1,fake_1000,1.0
41,fake_1000,49,fake_1000,0.0
18,fake_1000,46,fake_1000,0.0
389,fake_1000,393,fake_1000,1.0
47,fake_1000,48,fake_1000,1.0
6,fake_1000,49,fake_1000,0.0
296,fake_1000,297,fake_1000,1.0
512,fake_1000,513,fake_1000,1.0
435,fake_1000,438,fake_1000,1.0
32,fake_1000,45,fake_1000,0.0
53,fake_1000,54,fake_1000,1.0
6,fake_1000,26,fake_1000,0.0
31,fake_1000,46,fake_1000,0.0
4,fake_1000,26,fake_1000,0.0
0,fake_1000,33,fake_1000,0.0
686,fake_1000,687,fake_1000,1.0
715,fake_1000,720,fake_1000,1.0
0,fake_1000,15,fake_1000,0.0
1,fake_1000,46,fake_1000,0.0
890,fake_1000,891,fake_1000,1.0
942,fake_1000,943,fake_1000,1.0
109,fake_1000,113,fake_1000,1.0
13,fake_1000,33,fake_1000,0.0
3,fake_1000,9,fake_1000,0.0
123,fake_1000,124,fake_1000,1.0
6,fake_1000,19,fake_1000,0.0
415,fake_1000,416,fake_1000,1.0
3,fake_1000,44,fake_1000,0.0
421,fake_1000,425,fake_1000,1.0
7,fake_1000,18,fake_1000,0.0
305,fake_1000,306,fake_1000,1.0
3,fake_1000,34,fake_1000,0.0
166,fake_1000,169,fake_1000,1.0
432,fake_1000,433,fake_1000,1.0
429,fake_1000,431,fake_1000,1.0
38,fake_1000,41,fake_1000,1.0
10,fake_1000,16,fake_1000,0.0
6,fake_1000,27,fake_1000,0.0
19,fake_1000,45,fake_1000,0.0
16,fake_1000,35,fake_1000,0.0
719,fake_1000,720,fake_1000,1.0
767,fake_1000,768,fake_1000,1.0
902,fake_1000,903,fake_1000,1.0
5,fake_1000,10,fake_1000,0.0
12,fake_1000,46,fake_1000,0.0
533,fake_1000,537,fake_1000,1.0
386,fake_1000,387,fake_1000,1.0
864,fake_1000,866,fake_1000,1.0
11,fake_1000,23,fake_1000,0.0
9,fake_1000,35,fake_1000,0.0
20,fake_1000,21,fake_1000,0.0
148,fake_1000,149,fake_1000,1.0
317,fake_1000,319,fake_1000,1.0
833,fake_1000,834,fake_1000,1.0
12,fake_1000,35,fake_1000,0.0
25,fake_1000,33,fake_1000,0.0
3,fake_1000,48,fake_1000,0.0
334,fake_1000,338,fake_1000,1.0
138,fake_1000,141,fake_1000,1.0
848,fake_1000,851,fake_1000,1.0
128,fake_1000,131,fake_1000,1.0
511,fake_1000,513,fake_1000,1.0
24,fake_1000,25,fake_1000,0.0
14,fake_1000,31,fake_1000,0.0
5,fake_1000,17,fake_1000,0.0
7,fake_1000,40,fake_1000,0.0
16,fake_1000,48,fake_1000,0.0
696,fake_1000,699,fake_1000,1.0
8,fake_1000,32,fake_1000,0.0
17,fake_1000,21,fake_1000,0.0
981,fake_1000,983,fake_1000,1.0
285,fake_1000,286,fake_1000,1.0
28,fake_1000,41,fake_1000,0.0
719,fake_1000,721,fake_1000,1.0
23,fake_1000,29,fake_1000,0.0
446,fake_1000,450,fake_1000,1.0
335,fake_1000,338,fake_1000,1.0
14,fake_1000,25,fake_1000,0.0
669,fake_1000,670,fake_1000,1.0
489,fake_1000,492,fake_1000,1.0
376,fake_1000,379,fake_1000,1.0
293,fake_1000,295,fake_1000,1.0
12,fake_1000,23,fake_1000,0.0
91,fake_1000,92,fake_1000,1.0
9,fake_1000,37,fake_1000,0.0
3,fake_1000,35,fake_1000,0.0
41,fake_1000,48,fake_1000,0.0
9,fake_1000,13,fake_1000,0.0
25,fake_1000,38,fake_1000,0.0
14,fake_1000,21,fake_1000,0.0
697,fake_1000,700,fake_1000,1.0
75,fake_1000,76,fake_1000,1.0
367,fake_1000,368,fake_1000,1.0
11,fake_1000,39,fake_1000,0.0
